@relation .a/eda_raw_ml/eda_raw_ml
@attribute Sound real [46.22267342, 79.2527832]
@attribute Dust real [0.02916129, 0.39787096]
@attribute TempEN real [10.521, 26.891]
@attribute RH real [17.24, 60.8856]
@attribute Light real [287.76, 32280.1]
@attribute EDA_level {HIGH, NORM, LOW}
@data
62.83333359,0.048580645,17.106,52.7414,2580.34,LOW
60.04588394,0.037109678,17.082,52.454,2566.16,LOW
48.46783562,0.031419354,18.7008,23.653,4055.42,LOW
61.88461533,0.048774192,23.0544,29.8612,1013.08,NORM
61.41025696,0.049032257,22.8528,30.3888,1156.54,LOW
61.13967628,0.041290323,22.7146,30.7194,1348.92,LOW
59.9568161,0.052580644,22.0154,32.263,1516.04,HIGH
68.36233139,0.056064514,21.6904,32.946,1575.98,HIGH
61.53846016,0.051806451,21.7624,32.9524,1653.24,HIGH
63.52564316,0.043354839,21.9678,32.5654,2156.24,HIGH
64.15995026,0.042365592,21.9534,32.0844,2000.12,HIGH
54.50657845,0.044387095,20.5886,34.7758,2160.94,HIGH
54.52302704,0.046064516,20.6648,34.7308,2105.76,HIGH
67.56410141,0.058129032,21.1702,34.5938,3207.9,HIGH
60.3903038,0.039612902,21.127,34.431,1210.14,LOW
60.955513,0.040903225,21.0934,34.382,1028.84,HIGH
60.47300949,0.060193545,20.8362,34.3244,1642.18,HIGH
61.41497917,0.042709676,20.8506,35.5324,1282.68,HIGH
62.17858696,0.060688172,20.9268,35.3946,1266.9,HIGH
64.23443336,0.046516129,21.0416,35.129,2793.22,LOW
55.08350138,0.039655912,20.9936,35.388,997.28,HIGH
56.01973677,0.074580645,21.0744,35.2176,1011.48,HIGH
59.57759628,0.067096773,21.079,35.238,1006.78,HIGH
57.57631546,0.051935482,20.9984,36.926,1662.68,HIGH
60.14102631,0.039354838,21.0128,35.798,1413.56,HIGH
55.94736977,0.057806449,21.1462,35.0666,2285.46,HIGH
65.20175374,0.054494624,21.0934,33.0576,1514.44,HIGH
63.0,0.071741934,21.3708,34.5138,1817.22,HIGH
57.75461146,0.080903225,21.3372,35.0784,1821.92,LOW
52.875,0.03948387,21.1318,34.1146,4269.04,HIGH
56.8148908,0.041870968,21.2038,34.048,2911.48,HIGH
62.4177269,0.041483871,21.175,34.8914,2618.2,HIGH
69.01721725,0.040129033,21.175,35.2012,3025.0,HIGH
60.94534378,0.044193547,21.1846,35.6964,5043.24,HIGH
63.28205109,0.041338708,21.8766,34.515,6222.64,HIGH
62.94871902,0.051096774,22.4218,32.5594,2244.52,HIGH
61.75641136,0.045935483,22.6906,32.8898,2107.32,HIGH
62.19972992,0.105225806,22.729,32.413,2585.1,HIGH
63.05128301,0.041333335,22.6666,32.374,3352.96,HIGH
66.07351786,0.036946237,22.5754,31.912,3357.7,LOW
67.15292816,0.045870967,17.6148,44.202,4746.8,LOW
60.0020237,0.042580645,17.6674,41.8492,926.34,NORM
61.48717918,0.042516129,17.8958,41.6894,1243.26,NORM
59.73009491,0.043716128,16.7776,43.1754,1516.04,NORM
60.98245697,0.051870966,16.606,44.05,1006.74,NORM
57.87719294,0.083655913,16.3774,44.358,994.14,NORM
61.2136762,0.077548385,16.5154,45.1392,7501.4,LOW
55.56025696,0.044051614,16.7964,44.2374,9037.16,NORM
60.3130909,0.041935484,17.5628,42.636,1024.12,NORM
59.87584267,0.048451612,17.4816,41.969,1087.16,NORM
58.85222626,0.040580645,17.534,41.9624,3411.3,NORM
58.52631569,0.039419353,17.3726,41.9504,1173.92,NORM
57.73684235,0.038838709,17.32,42.4932,961.02,NORM
61.46915398,0.039677418,17.106,42.9276,2627.64,NORM
57.68421135,0.040335482,16.939,45.551,1126.58,NORM
56.15789413,0.039806451,16.8392,44.7618,3187.4,LOW
54.81907845,0.040967742,16.9678,44.1186,3143.24,NORM
59.70670217,0.040860214,16.963,44.2638,3100.68,LOW
57.59775019,0.053634409,16.9246,43.8024,3231.56,NORM
63.89560471,0.04432258,16.787,44.1414,6684.64,LOW
61.01417058,0.03944086,16.868,43.7704,3340.34,NORM
61.66666641,0.040580644,16.8964,44.319,1514.48,NORM
62.62820358,0.038709677,16.8392,44.6288,2039.52,LOW
62.61538467,0.039432257,16.5204,46.7952,1374.14,NORM
55.36842155,0.061096772,16.4058,47.3204,1014.64,NORM
57.15789528,0.040129031,15.9482,46.4034,1670.56,NORM
58.2975708,0.039419354,15.294,48.3446,7116.68,LOW
65.26740112,0.04108387,16.7582,45.617,8419.06,NORM
64.11263809,0.047096774,17.4484,44.1884,8565.7,NORM
62.64102631,0.045612903,18.1666,42.0084,1334.7,LOW
60.78461426,0.081247309,17.344,43.178,2094.74,NORM
63.28632495,0.039161289,16.3246,44.2062,1268.52,NORM
62.65384636,0.04264516,15.7,45.9644,3614.72,NORM
57.9113252,0.040619354,16.2154,46.6752,2835.78,LOW
64.53113581,0.043707526,16.3344,44.991,6027.1,NORM
66.66666565,0.043354838,17.5388,43.0672,6544.3,NORM
68.38685608,0.042365592,17.729,42.4128,4934.46,LOW
59.92996864,0.041870968,18.0954,42.2372,4948.64,NORM
63.67521261,0.06004301,19.3982,40.267,7974.42,LOW
66.34798431,0.167053766,21.2562,28.0736,2337.54,HIGH
60.81376495,0.068451611,20.2978,29.9468,1820.36,HIGH
55.42388799,0.128301076,19.9598,29.9654,1391.48,LOW
54.83552704,0.061419352,20.1026,29.4698,1538.12,HIGH
59.59514313,0.188709685,19.1748,30.9372,2105.76,HIGH
56.42105331,0.105870966,18.9512,31.839,1698.94,LOW
59.20985107,0.124580646,18.3758,32.5144,2758.54,LOW
62.40171,0.101161288,17.71,33.86,7428.84,HIGH
60.88888957,0.169634403,17.263,34.8844,2058.46,HIGH
53.41666667,0.064989247,18.2,33.3936,2419.52,LOW
60.57692223,0.127032257,17.786,34.1166,1167.6,HIGH
54.62019234,0.097806452,17.805,34.485,670.9,HIGH
61.69230728,0.148322581,16.582,38.275,3300.94,LOW
60.20985146,0.185677419,16.7012,38.1132,3669.88,NORM
68.85256577,0.088322579,16.7538,37.7958,1419.88,LOW
59.32330933,0.096967742,16.9152,36.6532,1271.64,NORM
67.85834376,0.127462367,16.7726,36.7424,1473.48,LOW
63.61538353,0.152967736,16.8104,36.6946,5358.56,LOW
61.50067444,0.11729032,16.8392,36.7104,6386.62,LOW
60.12280655,0.128129032,17.5148,35.9978,5990.86,LOW
63.53296661,0.133419352,17.843,35.3584,1244.86,HIGH
62.5168705,0.161225805,17.9102,35.2604,5090.54,HIGH
72.22468541,0.102817206,17.962,35.468,5358.58,HIGH
60.86471024,0.10993548,17.9288,35.9544,5492.62,HIGH
66.84065857,0.107612903,17.6814,36.216,5562.02,HIGH
63.06964569,0.108580641,17.5196,36.018,5448.5,HIGH
61.397435,0.175806449,17.5772,36.3684,4467.74,LOW
63.30769234,0.11103226,19.1318,33.8682,16654.44,LOW
67.71094208,0.112946234,19.579,33.1452,14406.0,HIGH
62.76923167,0.097419355,19.6462,32.4964,14027.56,HIGH
63.70156326,0.187677417,19.96,32.4586,13617.62,LOW
60.00967255,0.046924732,20.1028,31.9936,11258.8,HIGH
62.8304982,0.098451613,19.9266,31.3074,1342.58,HIGH
60.16545263,0.116430105,19.9264,31.6464,2209.8,HIGH
52.70833333,0.044774194,20.412,32.38,1072.98,NORM
62.48718048,0.044967742,19.66,33.3964,1194.4,NORM
58.33130798,0.047999998,19.9314,33.8374,8844.8,LOW
61.58974406,0.045462365,20.6078,32.742,5591.94,NORM
61.68375982,0.044068818,19.8788,32.643,1631.14,NORM
60.75236092,0.044000001,19.7076,32.9448,1095.04,LOW
63.32523499,0.044129033,19.346,33.1632,4872.94,NORM
59.60526237,0.044967742,19.1414,34.231,2178.28,NORM
60.51889458,0.042451614,18.9466,36.5506,5180.42,NORM
62.94016978,0.045264516,19.2604,35.1356,3961.6,NORM
63.92185491,0.044369893,19.294,35.2438,5450.04,NORM
59.72672195,0.043096776,19.441,34.2396,5763.8,NORM
59.23954086,0.044645162,19.4034,34.058,1801.46,NORM
60.26518173,0.041741935,18.4092,36.6666,1585.42,NORM
60.41025658,0.042193549,18.3476,36.3278,2731.74,NORM
60.63900223,0.093999999,18.4044,35.753,975.22,NORM
59.04210541,0.089677421,18.3568,35.6308,795.48,NORM
60.7774231,0.04167742,18.5378,35.367,6910.1,NORM
65.36874441,0.049935483,19.6554,33.3894,8157.32,NORM
61.56410255,0.046,19.7364,33.5752,8420.66,NORM
58.86215566,0.04351828,21.1126,30.6502,1282.7,LOW
63.31296349,0.04772043,21.0604,30.7658,1359.94,NORM
61.85641037,0.042709677,20.3602,32.07,1747.84,NORM
62.89743652,0.056645163,20.388,32.245,6249.46,NORM
66.53968048,0.045505376,21.0558,31.319,5844.22,NORM
62.19414024,0.045393548,21.6808,31.1996,5812.7,NORM
60.78243624,0.045591398,21.9294,30.7798,5547.8,NORM
62.52856344,0.048344085,22.0534,30.4756,5584.06,NORM
58.12280782,0.044877419,23.4872,25.8806,3017.1,NORM
64.7023819,0.044451613,21.7622,28.7128,1713.16,NORM
56.85919851,0.044086022,20.9508,30.3958,1397.8,NORM
62.51281967,0.046503225,20.3172,31.501,1610.66,NORM
63.15384521,0.043122582,19.6694,32.4654,1377.3,NORM
63.14957352,0.159462366,20.5838,31.684,6637.34,NORM
64.11172066,0.062774192,20.5934,30.9992,6725.62,NORM
58.00000114,0.049096773,21.0936,30.3746,8728.12,NORM
65.67307625,0.097870971,21.2846,30.5374,7767.84,NORM
61.20512924,0.044825807,21.7144,29.2804,987.82,NORM
63.51282291,0.051806451,20.8314,30.1388,2305.98,NORM
60.87179489,0.044983871,20.3408,31.144,863.28,NORM
61.21390038,0.044258065,20.6836,30.1464,4297.46,LOW
66.50279732,0.044774194,20.436,31.4652,6176.92,NORM
61.25530281,0.044322581,20.5406,31.4276,2663.9,NORM
64.61721649,0.044774194,20.9176,30.2258,4816.18,NORM
59.47143428,0.047397847,21.0888,30.7482,3685.64,NORM
62.89743462,0.05003871,21.1222,30.4036,1457.7,NORM
57.02302589,0.044322581,21.27,30.5632,1140.78,NORM
53.94166667,0.045913978,21.3564,30.4038,1191.24,NORM
60.8090416,0.056580645,21.418,30.6894,2088.42,NORM
61.34552612,0.139741931,21.3658,30.685,2421.12,NORM
58.9705363,0.043333333,20.7268,30.6306,4267.48,NORM
61.0512825,0.045290321,20.5168,32.17,4040.42,NORM
59.45559952,0.044980645,20.4216,31.1842,3947.4,NORM
64.56318817,0.051612904,20.622,30.8018,7703.22,HIGH
68.17857285,0.048064516,21.8336,29.223,6607.38,LOW
57.0526329,0.045354838,21.9054,29.5714,1793.56,HIGH
57.39473686,0.045870967,21.7478,29.9206,3709.3,HIGH
64.07692184,0.047999998,23.2752,28.6048,5609.3,LOW
65.63370056,0.086709679,23.4482,27.3324,11213.06,HIGH
66.64102631,0.04729032,23.4772,27.348,7561.32,HIGH
65.06349246,0.048731181,23.1744,27.216,5607.7,HIGH
66.77777913,0.046838708,23.0928,27.5016,4994.36,HIGH
67.75000076,0.050322579,22.9248,27.7592,7905.04,HIGH
60.82996025,0.059032258,23.3568,27.9218,10396.32,HIGH
66.9523819,0.05083871,20.4836,30.5234,492.74,NORM
67.49999847,0.045032259,20.2644,30.7914,593.64,NORM
64.96398061,0.044430108,20.1168,30.712,603.1,LOW
57.76585884,0.044709678,20.0264,30.5976,612.58,NORM
61.14620005,0.044688173,19.4888,31.5682,603.1,NORM
57.76113434,0.042193548,19.3554,31.9938,570.0,NORM
68.8339447,0.043290324,18.8372,33.6764,2118.36,NORM
66.2561053,0.045634408,18.889,33.1808,1068.24,NORM
61.57692223,0.043677421,18.723,33.4554,776.58,NORM
64.0503685,0.043535485,18.675,33.8324,570.0,NORM
64.70513,0.042129031,18.6894,33.6892,577.9,NORM
55.50000038,0.04367742,18.6798,34.0298,481.74,NORM
54.65224355,0.043333335,18.675,33.7862,484.88,NORM
61.60073191,0.045204301,18.5944,33.8312,666.2,NORM
55.34210587,0.042096773,18.533,33.7864,514.82,NORM
68.03174438,0.042311827,18.533,33.9108,674.06,LOW
70.59809418,0.043445163,18.58,33.9548,961.04,NORM
71.75599264,0.043010755,18.7086,33.7368,1421.46,NORM
65.94047623,0.042774195,18.747,33.714,831.74,NORM
66.60714035,0.044064517,18.723,33.6328,855.4,NORM
63.34737523,0.043389248,18.8132,33.7534,1405.66,NORM
60.40215836,0.043612904,18.985,32.9714,1331.54,NORM
66.17460124,0.041935484,18.985,33.0704,1500.28,LOW
65.2979248,0.05204301,18.9942,33.1108,1298.46,NORM
55.11403503,0.04288172,13.786,47.769,1329.98,NORM
53.98026276,0.041354839,13.858,47.6106,1293.74,NORM
53.75,0.041290322,13.8868,47.5834,1307.92,NORM
60.35155182,0.043935484,13.3578,48.766,5312.86,NORM
61.37179413,0.047096774,13.449,48.8896,2373.82,NORM
52.9375,0.042580646,13.6564,47.9698,962.64,NORM
53.8125,0.042387096,13.4394,49.024,1702.1,NORM
62.02361717,0.042838712,13.57,48.2804,2403.76,NORM
61.8893383,0.04064516,13.5604,48.2792,3915.86,NORM
61.01709493,0.046107527,13.522,48.231,2618.2,NORM
53.3125,0.048064515,13.502,48.4326,565.28,HIGH
52.8125,0.109161288,13.1514,48.9854,571.58,NORM
62.49707642,0.075161288,13.132,48.7672,692.98,NORM
58.17813873,0.041935483,13.2282,48.9714,1136.04,NORM
60.38169149,0.04064516,13.2138,49.321,522.68,NORM
57.18876572,0.042983873,13.233,49.2802,555.82,NORM
60.75640945,0.043032257,13.1898,49.8782,3245.72,NORM
62.45344238,0.212129018,13.2186,49.7956,6148.52,NORM
64.15750885,0.042451614,13.3626,49.9016,2723.82,NORM
59.36707077,0.061858063,13.512,48.669,6481.22,NORM
62.19658152,0.042150538,13.517,48.9104,1293.72,NORM
68.48809586,0.054516129,13.4634,48.6568,1224.36,NORM
64.17032967,0.044129031,13.5412,48.9202,3813.38,NORM
59.4010348,0.0467957,13.6948,49.2556,1277.94,NORM
62.16666641,0.056580646,13.9588,47.5994,3384.48,NORM
60.53441315,0.041741936,14.098,47.3998,3879.58,HIGH
58.0,0.049741936,16.1388,42.9992,18204.38,HIGH
60.78407516,0.045935484,16.1866,42.6366,11309.24,HIGH
60.42465134,0.051010752,17.3152,40.6568,15504.98,HIGH
60.2153833,0.051741935,17.5004,40.0154,16369.06,LOW
62.89621633,0.090021502,18.2048,38.6908,14324.02,LOW
54.375,0.043509679,17.6482,39.8254,2583.52,HIGH
53.5,0.045096774,17.7194,39.801,2575.62,HIGH
58.04647408,0.044387097,17.891,39.4004,2501.54,LOW
60.52226588,0.04739785,17.819,39.1346,3105.44,HIGH
59.58771985,0.043131185,17.458,40.9228,4056.2,NORM
61.71794891,0.060580644,17.558,40.4266,4169.72,NORM
64.18331273,0.05432258,17.3008,40.9886,1257.46,NORM
61.81196645,0.11488172,17.2486,41.1172,976.8,LOW
53.8125,0.04335484,17.1676,40.4866,2011.12,HIGH
52.8,0.044000001,17.244,40.5784,1979.62,HIGH
65.50457916,0.06664516,17.2344,41.3014,3658.86,NORM
60.37044525,0.046064515,17.2534,41.0794,3594.22,NORM
61.11470998,0.04744086,17.3488,40.5194,4199.68,HIGH
62.90256287,0.043655913,17.539,39.9486,2184.58,LOW
61.16239319,0.044378495,16.9012,42.1328,1301.6,NORM
