,participant,X,Y,Sound,Dust,TempEN,RH,Light,EDA_peaks,EDA_phase,EDA_label
46,30,681345.0156,247290.8854,59.30094437,0.048309676,17.81536,40.38288,1852.532,4,0.066416598,1
47,30,681316.6485,247280.0811,57.7246962,0.095509676,17.39796,40.63704,1872.704,6,0.064400127,1
48,30,681313.1735,247292.9503,58.30580292,0.047432258,16.704,42.70964,1932.956,3,0.044669106,1
49,30,681307.0325,247301.0202,61.50757675,0.048309677,17.00392,43.11404,3072.932,2,0.065213014,1
50,30,681285.0687,247260.2634,63.4120874,0.04588387,17.29524,41.98508,3235.012,6,0.113340129,1
51,30,681258.3061,247234.3407,60.0729422,0.045187097,17.39036,41.38932,2198.144,12,0.224540434,1
52,30,681243.4338,247190.5309,57.2288797,0.04516129,17.46164,41.26544,2722.272,6,0.150062965,1
53,30,681231.7508,247187.7577,65.59391937,0.046554839,17.61308,41.1348,2762,10,0.276012971,1
54,30,681220.0594,247181.0001,62.8399263,0.050683871,17.72324,40.86744,4458.576,19,0.244480187,1
55,30,681248.4262,247173.4942,63.59192215,0.046038709,17.93744,40.5596,3685.968,13,0.137014541,1
56,30,681265.8216,247172.8431,60.09446655,0.045290322,18.31684,40.43528,3785.936,21,0.333114993,1
57,30,681269.0038,247172.1455,62.94295197,0.048361289,18.56784,39.61644,5217,13,0.13341373,1
58,30,681301.0758,247181.8142,67.81140839,0.05832258,18.69056,39.3956,6165.576,8,0.068367883,1
59,30,681335.4831,247188.2721,67.23525558,0.055329031,18.92284,39.17196,4549.712,13,0.066437212,1
60,30,681370.9542,247193.3549,62.94937408,0.068103225,19.09776,39.21516,4877.056,12,0.453697883,1
61,30,681406.357,247196.0648,59.14767639,0.049729031,19.56212,38.23172,5025.272,6,0.142716007,1
62,30,681412.0059,247201.8503,61.80238007,0.051974192,19.87804,37.2868,6362.344,0,0.02261473,0
0,31,681404.1493,247344.9214,60.83357559,0.055483868,23.66612,30.32836,3034.3,15,7.387007288,1
1,31,681404.1493,247344.9214,60.83357559,0.055483868,23.66612,30.32836,3034.3,18,1.760731994,1
2,31,681404.1493,247344.9214,60.83357559,0.055483868,23.66612,30.32836,3034.3,22,1.932277411,1
3,31,681404.1493,247344.9214,60.83357559,0.055483868,23.66612,30.32836,3034.3,29,3.425593157,1
4,31,681404.1493,247344.9214,60.83357559,0.055483868,23.66612,30.32836,3034.3,26,0.934381679,1
5,31,681404.1493,247344.9214,60.83357559,0.055483868,23.66612,30.32836,3034.3,23,0.473009517,1
6,31,681404.1493,247344.9214,60.83357559,0.055483868,23.66612,30.32836,3034.3,25,0.360916075,1
7,31,681400.8857,247357.0521,58.53998016,0.048335483,24.20628,32.00812,1843.692,27,0.269523945,1
8,31,681389.9117,247372.3572,56.78157913,0.049109677,24.31212,31.98672,1957.536,14,0.172435755,1
9,31,681387.4504,247379.2359,61.76410339,0.058245159,23.70836,31.8704,1977.72,22,0.073603245,1
10,31,681369.7235,247407.7543,60.97459015,0.055716128,22.69044,33.87692,3881.812,19,0.162223953,1
11,31,681348.2155,247431.0875,58.21727448,0.048670966,22.76412,34.29872,1728.908,23,0.069645772,1
